==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270651792   -6.89166    -54.47609    -0.10      0.05     0.11     1 
2270651794   -6.89136    -54.41913    -0.04     -0.04     0.06     1 
2270651795   -6.89120    -54.39064    -0.05     -0.07     0.09     1 
2270651821   -6.92175    -55.78690     0.02     -0.02     0.03     1 
2270651822   -6.92168    -55.75839     0.08     -0.04     0.09     1 
2270651823   -6.92160    -55.72989    -0.02     -0.10     0.10     1 
2270651825   -6.92145    -55.67287     0.07      0.01     0.07     1 
2270651826   -6.92137    -55.64436     0.04      0.02     0.05     1 
2270651827   -6.92129    -55.61586     0.06      0.04     0.07     1 
2270651828   -6.92120    -55.58735     0.01     -0.01     0.02     1 
2270651830   -6.92103    -55.53034    -0.07      0.03     0.08     1 
2270651841   -6.91996    -55.21681    -0.15     -0.00     0.15     1 
2270651847   -6.91929    -55.04581     0.06     -0.06     0.09     1 
2270651848   -6.91917    -55.01731     0.03     -0.02     0.03     1 
2270651849   -6.91905    -54.98882    -0.02      0.03     0.03     1 
2270651850   -6.91893    -54.96032     0.01     -0.09     0.09     1 
2270651851   -6.91880    -54.93182     0.03     -0.03     0.04     1 
2270651853   -6.91855    -54.87483     0.02     -0.07     0.08     1 
2270651854   -6.91843    -54.84634    -0.01     -0.01     0.02     1 
2270651855   -6.91829    -54.81784    -0.01     -0.02     0.03     1 
2270651856   -6.91816    -54.78935    -0.00      0.00     0.00     1 
2270651858   -6.91790    -54.73237    -0.04     -0.02     0.05     1 
2270651860   -6.91762    -54.67538    -0.06     -0.07     0.09     1 
2270651863   -6.91719    -54.58991     0.02     -0.01     0.02     1 
2270651864   -6.91705    -54.56142     0.02      0.01     0.02     1 
2270651867   -6.91660    -54.47596    -0.03      0.00     0.03     1 
2270651868   -6.91645    -54.44748    -0.00     -0.02     0.02     1 
2270651870   -6.91614    -54.39050    -0.04     -0.05     0.06     1 
2270651896   -6.94672    -55.78684    -0.00     -0.03     0.03     1 
2270651901   -6.94633    -55.64429     0.03     -0.03     0.04     1 
2270651902   -6.94625    -55.61578    -0.13     -0.03     0.13     1 
2270651906   -6.94590    -55.50176    -0.10      0.01     0.10     1 
2270651907   -6.94581    -55.47325     0.11      0.13     0.17     1 
2270651908   -6.94572    -55.44474    -0.04     -0.07     0.08     1 
2270651909   -6.94562    -55.41624    -0.05      0.08     0.09     1 
